effect,contrast,rarity_value,rarity_icon,hash,name,trend,archetype,currency,value,description,frame,art
"medium","-12","48","meme","ef2fa4340496","CriptoMax","60","Ganância","BRL","6","All-in em cripto. Volatilidade: sua personalidade agora.","glow","pending"
"medium","-12","40","meme","652aacaa7086","TikStar","52","Influência","BRL","5.2","100k seguidores. Engajamento: 50 likes. Bots confirmados.","default","pending"
"medium","-10","36","meme","c0242a085bfd","GamerLost","46","Preguiça","BRL","4.6","Joga 10h/dia. Skill: platina. Vida social: bronze.","default","pending"
"medium","-10","38","meme","a33c6079787d","PinPregui","48","Preguiça","BRL","4.8","Pinou a mesma coisa há 2 anos. Relevância: expirada.","default","pending"
"medium","-13","45","meme","a4c97c16d2cd","AlgoFodido","58","Influência","BRL","5.8","Algoritmo shadowbanned. Insiste. ""Vai voltar"".","neon","pending"
"medium","-13","43","meme","b537a51e1b1e","MemeDealer","56","Informação","BRL","5.6","Reposta memes. Sem crédito. Karma negativo.","default","pending"
"medium","-12","41","meme","993f0ec24926","GrindFake","53","Ganância","BRL","5.3","Grindset falso. Real: preguiça documentada.","default","pending"
"medium","-12","47","meme","3210461d320b","CloutFarmer","59","Influência","BRL","5.9","Faz qualquer coisa por atenção. Dignidade: opcional.","glow","pending"
"medium","-11","39","meme","d01a7467667a","TrapQueen","50","Impulso","BRL","5","Cai em bait semanalmente. Nunca aprende.","default","pending"
"medium","-13","44","meme","03b3104c7f81","RageFarmer","57","Impulso","BRL","5.7","Cultiva raiva. Colhe: mais raiva. Ciclo infinito.","neon","pending"
"medium","-12","40","meme","d6124e8df978","ViewCarol","52","Influência","BRL","5.2","Caça views desesperadamente. Ética: negociável.","default","pending"
"medium","-12","46","meme","b78f6e7168c5","BaitMaster","58","Impulso","BRL","5.8","Mestre do bait. Morde o próprio. Ironia suprema.","glow","pending"
"medium","-10","38","meme","1b7fde7ee29c","InfluWannab","48","Influência","BRL","4.8","Quer ser influencer. Talento: insistência.","default","pending"
"medium","-13","42","meme","e7413756a34f","SkinInvest","55","Consumo","BRL","5.5","Investiu em skins. Valor: despencou. ""É investimento"".","neon","pending"
"medium","-10","37","meme","ada583fdc882","MetaEscravo","47","Impulso","BRL","4.7","Serve ao meta sem questionar. Autonomia: nenhuma.","default","pending"
"medium","-13","45","meme","0db03b74fed5","PlayVício","58","Preguiça","BRL","5.8","Viciado em jogo. Justifica: ""É trabalho. Sou gamer"".","neon","pending"
"medium","-13","43","meme","35bd4145a6e9","TradeRekt","56","Ganância","BRL","5.6","Perdeu tudo no trade. Culpa: mercado manipulado.","default","pending"
"medium","-12","41","meme","36d9ecf03da5","NFTCopeiro","53","Consumo","BRL","5.3","Comprou NFT no topo. Segura bag. ""Diamond hands"" forçado.","neon","pending"
"medium","-11","39","meme","0a0d1c52da7a","DropFlip","50","Ganância","BRL","5","Dropshipping de dropshipping. Lucro: comissão da comissão.","default","pending"
"medium","-13","44","meme","73db4eaf56ab","GhostPost","57","Preguiça","BRL","5.7","Postou 1 vez. Sumiu. ""Focando em mim"".","default","pending"
"medium","-13","46","meme","efdb9355ff09","ToxicKing","59","Impulso","BRL","5.9","Tóxico em tudo. Banido 10 vezes. Cria nova conta. Repete.","glow","pending"
"medium","-12","40","meme","067f67c3c3e9","CópiaPura","52","Influência","BRL","5.2","Copia conteúdo 1:1. ""Me inspirei"".","default","pending"
"medium","-10","38","meme","580b1bb3d672","BuzzKill","48","Informação","BRL","4.8","Mata hype com negatividade. Amigos: cansados.","default","pending"
"medium","-13","42","meme","90552c1babda","RaidKing","55","Influência","BRL","5.5","Faz raid todo dia. Retorno: nenhum.","default","pending"
"medium","-12","41","meme","aec36ed92540","BotCursor","53","Impulso","BRL","5.3","Cursor que clica sozinho. Automatização da preguiça.","neon","pending"
"medium","-11","39","meme","3fb0938004cb","FakeProof","50","Informação","BRL","5","Print forjado. ""Prova"" que não prova nada.","default","pending"
"medium","-10","37","meme","18069d32ab19","CapLock","47","Impulso","BRL","4.7","CAPS LOCK travado. Civilidade: impossível.","default","pending"
"medium","-13","43","meme","93aba45d18c1","EmojiSpam","56","Impulso","BRL","5.6","🔥💯😂👏🙏 sem contexto. Comunicação: comprometida.","default","pending"
"medium","-13","45","meme","9927533cdd92","LinkShady","58","Ganância","BRL","5.8","Link suspeito. ""Clica que é seguro"". Spoiler: não é.","neon","pending"
"medium","-12","40","meme","7b71a92bb383","NotifFlood","52","Impulso","BRL","5.2","Notificações infinitas. Sanidade: esgotada.","default","pending"
"medium","-13","44","meme","70d4855f8759","PopupHell","57","Consumo","BRL","5.7","Popup dentro de popup. UX: crime.","neon","pending"
"medium","-10","38","meme","70557fdbbb0d","AutoReply","48","Preguiça","BRL","4.8","Resposta automática. Contexto: ignorado.","default","pending"
"medium","-13","42","meme","6f6d752a0198","TempUsed","55","Consumo","BRL","5.5","Template usado por 10k pessoas. Originalidade: zero.","default","pending"
"medium","-13","46","meme","881f88d50029","AlgoTrap","59","Informação","BRL","5.9","Armadilha algorítmica. Escape: impossível.","glow","pending"
"medium","-13","43","meme","210420ad496a","TrendQueima","56","Impulso","BRL","5.6","Trend queimado em 24h. Duração: efêmera.","neon","pending"
"medium","-12","41","meme","7acaf9ad46e9","CancelMaçon","53","Impulso","BRL","5.3","Cancelamento seletivo. Critério: narrativa.","default","pending"
"medium","-12","47","meme","14392379a268","RugPull","59","Ganância","BRL","5.9","Projeto sumiu com dinheiro. ""Rug"" clássico.","glow","pending"
"medium","-11","39","meme","2016f5c015d9","BotArmy","50","Informação","BRL","5","Exército de bots. Opinião fabricada em massa.","default","pending"
"medium","-13","45","meme","6b7bd79c7d84","MetaShift","58","Influência","BRL","5.8","Meta mudou. Estratégia: obsoleta overnight.","neon","pending"
"high","-10","72","viral","2753bcba73bd","IACopyGod","82","Informação","BRL","25","Copywriter que perdeu emprego pra IA. Agora vende curso de ""IA pra copys"".","glow","pending"
"high","-10","68","viral","9081b4ebdfa0","PixFlexer","78","Ganância","BRL","22","Mostra Pix de R$50k. Real: print editado. Flex fake documentado.","glitch","pending"
"high","-10","75","viral","e681c759a281","AlgoCrown","85","Influência","BRL","28","Dominou algoritmo. 10M views. Identidade: refém do viral.","glow","pending"
"high","-10","70","viral","dcb7be8c37a3","BurnoutKing","80","Preguiça","BRL","24","Burnout crônico. Reclama 24/7. Trabalha: 15h/semana.","glitch","pending"
"high","-10","76","viral","491d0d29ce39","CriptoWhale","86","Ganância","BRL","29","Ganhou milhões em cripto. Perdeu tudo. Voltou. Repetiu.","ghost","pending"
"high","-10","73","viral","0274489b8a70","TrendMaker","83","Influência","BRL","26","Cria trends. Não participa. Observa o caos que criou.","glow","pending"
"high","-10","69","viral","5702bea5d4fc","ToxicGuru","79","Impulso","BRL","23","Guru da toxicidade. Engajamento: ódio puro. Funciona.","glitch","pending"
"high","-10","71","viral","d824bbd98c0a","MemeLord","81","Informação","BRL","25","Rei dos memes. Criou 50 virais. Anonimato: preservado.","glow","pending"
"high","-10","74","viral","c3a7be276918","HustleMito","84","Ganância","BRL","27","Vendeu R$10M em infoproduto. Conteúdo: promessa vazia.","glitch","pending"
"high","-10","67","viral","5d2e9c07f0c9","DropKing","77","Ganância","BRL","21","Dropshipping de R$100k/mês. Margem: 2%. Stress: 100%.","glitch","pending"
"high","-10","70","viral","eaa077d6d18c","CancelSurv","80","Impulso","BRL","24","Sobreviveu 5 cancelamentos. Imunidade: adquirida.","ghost","pending"
"high","-10","72","viral","eec4fe0e5638","ShillLegend","82","Ganância","BRL","26","Shillou 100 projetos. 2 deram certo. ""Taxa de acerto alta"".","glow","pending"
"high","-10","68","viral","69883b1b6468","RageProfit","78","Impulso","BRL","22","Lucra com raiva alheia. Engagement: ódio monetizado.","glitch","pending"
"high","-10","73","viral","f2bc3a35765a","ViewAddic","83","Influência","BRL","26","Viciado em views. Faz qualquer coisa. Limite: não existe.","ghost","pending"
"high","-10","71","viral","7692af6e7be6","AlgoFalha","81","Informação","BRL","25","Falha algorítmica. Mundos trocados. Caos temporário.","glow","pending"
"high","-10","69","viral","efbef6f8219c","ViralBug","79","Informação","BRL","23","Bug que viralizou. Exploit em massa. Patch: 3 dias depois.","glitch","pending"
"high","-10","74","viral","5677ae3ab40f","TrendExplos","84","Influência","BRL","27","Trend explosivo. 100M views em 48h. Burn out coletivo.","glow","pending"
"high","-10","70","viral","c2efdcb1f75c","MetaChaos","80","Impulso","BRL","24","Meta quebrado. Tudo viável. Caos criativo temporário.","glitch","pending"
"high","-10","72","viral","c4951a6f7550","CancelWave","82","Impulso","BRL","26","Onda de cancelamento. 50 alvos. Esquecido em 1 semana.","ghost","pending"
"high","-10","68","viral","addee0ed48be","HypeStorm","78","Influência","BRL","22","Tempestade de hype. Expectativa: impossível de cumprir.","glow","pending"
"legend","-3","90","legendary","2a3acffd6280","AlgoRoi","93","Influência","BRL","100","Rei do Algoritmo Vivo. Controla o feed. Todos servem.","holo","pending"
"legend","-2","88","legendary","7e55b826b166","BurnSaint","90","Preguiça","BRL","80","Santo do Burnout. Transformou exaustão em movimento. Culto formado.","ghost","pending"
"god","-1","98","godmode","705111f69e9e","CaosDigital","99","Impulso","BRL","500","Personificação do Colapso da Interface. Quando algoritmo ganha consciência.","dark","pending"
